Regiao;Cor_Raca;ANO;SEXO;POPULACAO_ANALFABETA
Norte;Branca;1995;Masculino;52.460
Norte;Negra;1995;Masculino;238.012
Nordeste;Branca;1995;Masculino;916.136
Nordeste;Negra;1995;Masculino;3.532.858
Sudeste;Branca;1995;Masculino;842.850
Sudeste;Negra;1995;Masculino;939.935
Sul;Branca;1995;Masculino;446.077
Sul;Negra;1995;Masculino;187.068
Centro_Oeste;Branca;1995;Masculino;147.080
Centro_Oeste;Negra;1995;Masculino;301.643
Norte;Branca;1996;Masculino;47.623
Norte;Negra;1996;Masculino;225.456
Nordeste;Branca;1996;Masculino;986.547
Nordeste;Negra;1996;Masculino;3.281.612
Sudeste;Branca;1996;Masculino;826.152
Sudeste;Negra;1996;Masculino;913.363
Sul;Branca;1996;Masculino;460.735
Sul;Negra;1996;Masculino;169.936
Centro_Oeste;Branca;1996;Masculino;126.806
Centro_Oeste;Negra;1996;Masculino;263.632
Norte;Branca;1997;Masculino;61.993
Norte;Negra;1997;Masculino;255.343
Nordeste;Branca;1997;Masculino;968.950
Nordeste;Negra;1997;Masculino;3.502.531
Sudeste;Branca;1997;Masculino;782.821
Sudeste;Negra;1997;Masculino;983.553
Sul;Branca;1997;Masculino;401.576
Sul;Negra;1997;Masculino;172.341
Centro_Oeste;Branca;1997;Masculino;148.975
Centro_Oeste;Negra;1997;Masculino;303.096
Norte;Branca;1998;Masculino;52.020
Norte;Negra;1998;Masculino;262.661
Nordeste;Branca;1998;Masculino;943.847
Nordeste;Negra;1998;Masculino;3.377.596
Sudeste;Branca;1998;Masculino;767.978
Sudeste;Negra;1998;Masculino;916.681
Sul;Branca;1998;Masculino;401.718
Sul;Negra;1998;Masculino;194.593
Centro_Oeste;Branca;1998;Masculino;124.626
Centro_Oeste;Negra;1998;Masculino;285.573
Norte;Branca;1999;Masculino;55.411
Norte;Negra;1999;Masculino;273.031
Nordeste;Branca;1999;Masculino;1.030.107
Nordeste;Negra;1999;Masculino;3.316.116
Sudeste;Branca;1999;Masculino;786.334
Sudeste;Negra;1999;Masculino;919.565
Sul;Branca;1999;Masculino;411.877
Sul;Negra;1999;Masculino;197.228
Centro_Oeste;Branca;1999;Masculino;127.850
Centro_Oeste;Negra;1999;Masculino;278.342
Norte;Branca;2001;Masculino;69.078
Norte;Negra;2001;Masculino;297.376
Nordeste;Branca;2001;Masculino;970.929
Nordeste;Negra;2001;Masculino;3.234.000
Sudeste;Branca;2001;Masculino;767.450
Sudeste;Negra;2001;Masculino;990.341
Sul;Branca;2001;Masculino;406.620
Sul;Negra;2001;Masculino;179.181
Centro_Oeste;Branca;2001;Masculino;117.074
Centro_Oeste;Negra;2001;Masculino;299.834
Norte;Branca;2002;Masculino;63.111
Norte;Negra;2002;Masculino;269.237
Nordeste;Branca;2002;Masculino;967.326
Nordeste;Negra;2002;Masculino;3.241.320
Sudeste;Branca;2002;Masculino;782.801
Sudeste;Negra;2002;Masculino;972.737
Sul;Branca;2002;Masculino;378.163
Sul;Negra;2002;Masculino;173.874
Centro_Oeste;Branca;2002;Masculino;121.464
Centro_Oeste;Negra;2002;Masculino;291.340
Norte;Branca;2003;Masculino;61.933
Norte;Negra;2003;Masculino;300.064
Nordeste;Branca;2003;Masculino;922.086
Nordeste;Negra;2003;Masculino;3.330.091
Sudeste;Branca;2003;Masculino;700.690
Sudeste;Negra;2003;Masculino;930.841
Sul;Branca;2003;Masculino;359.659
Sul;Negra;2003;Masculino;181.607
Centro_Oeste;Branca;2003;Masculino;127.358
Centro_Oeste;Negra;2003;Masculino;300.440
Norte;Branca;2004;Masculino;102.317
